event_id,order_id,event_state,sales_order_state,sales_type,trial,promo_code,referred_by,sector,company_name,customer_id,type,sub_type,cost_per_pax,lines,ways,pax,address,postal_code,need_to_use_stairs,special_instructions,need_pre_setup,pre_setup_date_time,created_at,updated_at,pickup_date_time,setup_date_time,serving_date_time,takedown_date_time,ready_to_eat_at,consume_by,sub_total_value,additional_charges_value,delivery_fee,surcharge_value,discount_value,revenue,event_url,sales_order_url,invoice_url
I4871,SO082956422,PUBLISHED,CONFIRMED,inbound,FALSE,,,Education,Nanyang Technological University,20528,MiniBuffet,,0,1,1,10,"50 Nanyang Avenue, School of Mechanical & Aerospace Engineering, MAE Meeting Room B (N3-02b-65)",639798,,10x bento + cutlery | 10x bottled drinks,FALSE,,2023-08-29 10:08:23,2023-09-14 4:03:10,2023-09-15 10:30:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 10:30:00,2023-09-15 14:30:00,0,212.48,30,0,10.62,231.86,https://papercut.grain.com.sg/events/94871,https://papercut.grain.com.sg/sales_orders/56422,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=ae2e30e6-b507-493d-badf-a9a2f6171c6b
I4874,SO082956425,PUBLISHED,CONFIRMED,inbound,FALSE,,,Finance,OCBC Bank,72506,MiniBuffet,,0,1,1,120,"50th floor OCBC Centre, 65 Chulia Street",49513,,120 x bento + cutlery,FALSE,,2023-08-29 10:42:32,2023-09-14 4:01:30,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,0,1460,30,0,103,1387,https://papercut.grain.com.sg/events/94874,https://papercut.grain.com.sg/sales_orders/56425,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=5dd80125-2a89-46f9-bf9b-525bd25c4515
I5032,SO083056493,PUBLISHED,CONFIRMED,repeat,FALSE,,,Finance,J.P. Morgan,53505,MiniBuffet,,10,1,1,75,"JP Morgan One@Changi City, Changi Business Park Central 1, L2 learning room",486036,,75 x bento + cutlery,FALSE,,2023-08-30 19:14:09,2023-09-14 4:04:08,2023-09-15 12:30:00,2023-09-15 13:45:00,2023-09-15 13:45:00,2023-09-15 13:45:00,2023-09-15 12:30:00,2023-09-15 16:30:00,750,0,30,0,0,780,https://papercut.grain.com.sg/events/95032,https://papercut.grain.com.sg/sales_orders/56493,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=14bd35f1-c435-406e-8de8-b73b8b505e66
I5070,SO083156536,PUBLISHED,CONFIRMED,repeat,FALSE,,,Pharmaceutical,Edwards Lifesciences (Singapore) Pte Ltd,54350,MiniBuffet,,12,1,1,15,35 Changi North Crescent,499641,,30 x bentos + cutlery | 15 drinks,FALSE,,2023-08-31 11:24:19,2023-09-14 4:01:39,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,180,173.7,30,0,0,383.7,https://papercut.grain.com.sg/events/95070,https://papercut.grain.com.sg/sales_orders/56536,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=f84066fc-ea46-44dd-82b5-a3a77866a3ca
I5077,SO083156541,PUBLISHED,CONFIRMED,inbound,FALSE,,,,,72609,MiniBuffet,,18.5,1,1,25,"201 Jalan Kampong Chantek, #01-201",587908,,"-----
 Disposables required: YES",FALSE,,2023-08-31 12:15:59,2023-09-14 4:06:01,2023-09-15 16:45:00,2023-09-15 18:00:00,2023-09-15 18:00:00,2023-09-15 18:00:00,2023-09-15 16:45:00,2023-09-15 20:45:00,462.5,238.88,40,0,0,741.38,https://papercut.grain.com.sg/events/95077,https://papercut.grain.com.sg/sales_orders/56541,
I5184,SO090456611,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Marketing Institute of Singapore,72665,MiniBuffet,,0,1,1,19,"229 Mountbatten Road, Mountbatten Square, #03-02",398007,FALSE,"19 x bento + cutlery
 -----
 Disposables required: YES",FALSE,,2023-09-04 14:00:02,2023-09-14 4:02:42,2023-09-15 10:15:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 10:15:00,2023-09-15 14:15:00,0,249.41,30,0,0,279.41,https://papercut.grain.com.sg/events/95184,https://papercut.grain.com.sg/sales_orders/56611,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=2029e420-f433-465c-b973-d6e9eea9f3d1
I5216,SO090456636,PUBLISHED,CONFIRMED,inbound,FALSE,,,Hospitals,National University Health System Pte Ltd,60828,MiniBuffet,,12,1,1,17,"1E Kent Ridge Road, Level 13, NUHS TB – Seminar Room T01-01",119228,,17x bentos + cutlery,FALSE,,2023-09-04 18:05:23,2023-09-14 4:03:22,2023-09-15 10:30:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 10:30:00,2023-09-15 14:30:00,204,0,30,0,0,234,https://papercut.grain.com.sg/events/95216,https://papercut.grain.com.sg/sales_orders/56636,
I5317,SO090556692,PUBLISHED,CONFIRMED,repeat,FALSE,,,Hospitals,MOH Office for Healthcare Transformation Pte Ltd,55140,MiniBuffet,,12,1,1,25,"26 Jurong West Street 61, Pioneer Polyclinic",648201,,"25 x bento + cutlery
 *Please call Sandra (81128571) upon arrival.",FALSE,,2023-09-05 19:39:19,2023-09-14 4:03:48,2023-09-15 11:15:00,2023-09-15 12:30:00,2023-09-15 12:30:00,2023-09-15 12:30:00,2023-09-15 11:15:00,2023-09-15 15:15:00,300,0,30,0,0,330,https://papercut.grain.com.sg/events/95317,https://papercut.grain.com.sg/sales_orders/56692,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=e0c12eed-7298-4a91-82f6-aeafee7a746d
I5372,SO090656722,PUBLISHED,CONFIRMED,inbound,FALSE,,,,CaterSpot,37766,MiniBuffet,,0,1,1,110,"#05-01, 5 Burn Road Singapore",369972,,"110 x bento + cutlery
 

 Caterspot self-collect Order # Y3GJ-MAZG",FALSE,,2023-09-06 13:29:32,2023-09-14 4:02:23,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 14:00:00,0,1415.6,0,0,0,1415.6,https://papercut.grain.com.sg/events/95372,https://papercut.grain.com.sg/sales_orders/56722,
I5416,SO090656743,PUBLISHED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,30,"Guoco Tower Level 22, 1 Wallich St (enter via loading bay)",78881,,"30 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-06 16:25:44,2023-09-14 4:01:52,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,420,0,15,0,15,420,https://papercut.grain.com.sg/events/95416,https://papercut.grain.com.sg/sales_orders/56743,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=f5efa9ac-1929-4d6c-ad5f-bfba65e086d1
I5425,SO090656749,PUBLISHED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,35,"One Raffles Quay, 1 Raffles Quay - South Tower, Level 26 (enter via the loading bay route)",48583,,"35 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-06 16:38:21,2023-09-14 4:02:02,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,490,0,15,0,15,490,https://papercut.grain.com.sg/events/95425,https://papercut.grain.com.sg/sales_orders/56749,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=db281712-e04a-429f-944f-25d13bfcd1d0
I5432,SO090656749,DELETED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,35,"One Raffles Quay, 1 Raffles Quay - South Tower, Level 26 (enter via the loading bay route)",48583,,"35 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-06 16:40:50,2023-09-06 16:42:55,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,490,0,15,0,15,490,https://papercut.grain.com.sg/events/95432,https://papercut.grain.com.sg/sales_orders/56749,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=db281712-e04a-429f-944f-25d13bfcd1d0
I5435,SO090656749,PUBLISHED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,10,"One Raffles Quay, 1 Raffles Quay - South Tower, Level 29 (enter via the loading bay route)",48583,,"10 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-06 16:44:29,2023-09-14 4:02:05,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,140,0,15,0,15,140,https://papercut.grain.com.sg/events/95435,https://papercut.grain.com.sg/sales_orders/56749,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=db281712-e04a-429f-944f-25d13bfcd1d0
I5469,SO090656764,PUBLISHED,CONFIRMED,repeat,FALSE,,,,Singapore Canoe Federation,72550,MiniBuffet,,0,1,1,15,"5 Stadium Dr, OCBC Arena Level 2",397631,,"15 x bento + cutlery
 

 Contact Nur for delivery - 8787 5765",FALSE,,2023-09-06 23:45:44,2023-09-14 4:01:04,2023-09-15 7:45:00,2023-09-15 9:00:00,2023-09-15 9:00:00,2023-09-15 9:00:00,2023-09-15 7:45:00,2023-09-15 11:45:00,0,132.4,20,0,0,152.4,https://papercut.grain.com.sg/events/95469,https://papercut.grain.com.sg/sales_orders/56764,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=8f50d7fa-38e3-41f2-8adb-48ab616a284f
I5549,SO090856827,PUBLISHED,CONFIRMED,repeat,FALSE,,,Education,Nanyang Technological University,68176,MiniBuffet,,10,1,1,20,"50 Nanyang Avenue, LHN-TR+03 (The Arc, Level B2)",639798,,"30 x bentos + cutlery | 26 cups, sugar, creamer, stirrer",FALSE,,2023-09-08 11:41:43,2023-09-14 13:16:15,2023-09-15 13:15:00,2023-09-15 14:30:00,2023-09-15 14:30:00,2023-09-15 14:30:00,2023-09-15 13:15:00,2023-09-15 17:15:00,200,111.1,30,0,15.56,325.54,https://papercut.grain.com.sg/events/95549,https://papercut.grain.com.sg/sales_orders/56827,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=e99ec52b-2c02-460e-bfd9-282548bb88e0
I5562,SO090856835,PUBLISHED,CONFIRMED,repeat,FALSE,,,FMCG,Procter & Gamble International Operations SA Singapore Branch,10447,MiniBuffet,,0,1,1,30,70 Biopolis Street,138547,,30 x bento + cutlery,FALSE,,2023-09-08 13:03:35,2023-09-14 4:02:29,2023-09-15 10:00:00,2023-09-15 11:15:00,2023-09-15 11:15:00,2023-09-15 11:15:00,2023-09-15 10:00:00,2023-09-15 14:00:00,0,360,30,0,18,372,https://papercut.grain.com.sg/events/95562,https://papercut.grain.com.sg/sales_orders/56835,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=18ba20c8-0487-4659-a1da-695611fcdaba
I5563,SO090856836,PUBLISHED,CONFIRMED,inbound,FALSE,,,,,72858,MiniBuffet,,18.5,1,1,20,"17 Tanjong Katong Road, Katong Regency , #07-29",436950,,"-----
 Disposables required: YES",FALSE,,2023-09-08 13:32:59,2023-09-14 9:26:25,2023-09-15 16:45:00,2023-09-15 18:00:00,2023-09-15 18:00:00,2023-09-15 18:00:00,2023-09-15 16:45:00,2023-09-15 20:45:00,370,37.04,40,0,0,447.04,https://papercut.grain.com.sg/events/95563,https://papercut.grain.com.sg/sales_orders/56836,
I5565,SO090856838,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Kompan Asia Pte Ltd,72860,MiniBuffet,,0,1,1,15,"6 Raffles Boulevard, Marina Square, #02-249",39594,FALSE,"15 x bentos + cutlery | 15 packet fruit juice
 -----
 Disposables required: YES
 -----
 Our event starts at 3pm. Please arrange delivery not later than 2:45pm.",FALSE,,2023-09-08 14:17:36,2023-09-14 4:04:31,2023-09-15 13:30:00,2023-09-15 14:45:00,2023-09-15 14:45:00,2023-09-15 14:45:00,2023-09-15 13:30:00,2023-09-15 17:30:00,0,165.9,30,0,0,195.9,https://papercut.grain.com.sg/events/95565,https://papercut.grain.com.sg/sales_orders/56838,
I5568,SO090856840,PUBLISHED,CONFIRMED,repeat,FALSE,,,"Oil & Gas, Chemicals and Energy",ExxonMobil Asia Pacific Pte Ltd,18014,MiniBuffet,,0,1,1,15,51 Pioneer Sector 1 Annex II Building #02-211,628437,,45 x bento + cutlery,FALSE,,2023-09-08 15:13:02,2023-09-14 16:12:26,2023-09-15 10:15:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 10:15:00,2023-09-15 14:15:00,0,383.85,30,0,19.19,394.66,https://papercut.grain.com.sg/events/95568,https://papercut.grain.com.sg/sales_orders/56840,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=d1427c46-70df-42e4-b684-c563f1129025
I5575,SO090856847,PUBLISHED,CONFIRMED,inbound,FALSE,,,Lifestyle and Retail,FoodLine.sg Pte. Ltd.,38014,MiniBuffet,,21,1,1,20,71 AYER RAJAH CRESCENT #02-18,139951,,"20 x bentos + cutlery | 26 cups, sugar, creamer, stirrer",FALSE,,2023-09-08 16:35:46,2023-09-14 4:01:17,2023-09-15 8:45:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 10:00:00,2023-09-15 8:45:00,2023-09-15 12:45:00,420,46.3,50,0,0,516.3,https://papercut.grain.com.sg/events/95575,https://papercut.grain.com.sg/sales_orders/56847,
I5576,SO090856848,PUBLISHED,CONFIRMED,repeat,FALSE,,,,Compass Group Singapore Pte Ltd.,63696,MiniBuffet,,24.5,1,1,25,"KPMG - Compass Group (Singapore) Pte Ltd | 12 Marina View, #15-01 Asia Square Tower 2 Singapore, 018961",18961,,,FALSE,,2023-09-08 16:37:14,2023-09-14 4:05:17,2023-09-15 15:45:00,2023-09-15 17:00:00,2023-09-15 17:00:00,2023-09-15 17:00:00,2023-09-15 15:45:00,2023-09-15 19:45:00,612.5,0,40,0,0,652.5,https://papercut.grain.com.sg/events/95576,https://papercut.grain.com.sg/sales_orders/56848,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=b01654b5-1c76-46bf-84ee-d3297b6191db
I5577,SO090856847,PUBLISHED,CONFIRMED,inbound,FALSE,,,Lifestyle and Retail,FoodLine.sg Pte. Ltd.,38014,MiniBuffet,,0,1,1,20,71 AYER RAJAH CRESCENT #02-18,139951,,20 x bentos + cutlery,FALSE,,2023-09-08 16:42:44,2023-09-14 4:03:35,2023-09-15 10:45:00,2023-09-15 12:00:00,2023-09-15 12:00:00,2023-09-15 12:00:00,2023-09-15 10:45:00,2023-09-15 14:45:00,0,0,0,0,0,0,https://papercut.grain.com.sg/events/95577,https://papercut.grain.com.sg/sales_orders/56847,
I5578,SO090856849,PUBLISHED,CONFIRMED,repeat,FALSE,,,,"Mars Foods, LLC (SPORE BRANCH)",12923,MiniBuffet,,21.5,1,1,20,"47 Scotts Road, Goldbell Towers, #18-03",228233,,"-----
 Disposables required: YES",FALSE,,2023-09-08 16:44:37,2023-09-15 17:11:21,2023-09-15 11:15:00,2023-09-15 12:30:00,2023-09-15 12:30:00,2023-09-15 12:30:00,2023-09-15 11:15:00,2023-09-15 15:15:00,430,0,40,0,0,470,https://papercut.grain.com.sg/events/95578,https://papercut.grain.com.sg/sales_orders/56849,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=e8006566-0b3d-4e92-a7e9-adc09611fe16
I5584,SO090856851,PUBLISHED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,10,"One Raffles Quay, 1 Raffles Quay - North Tower, Level 50 (enter via the loading bay route)",48583,,"10 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-08 17:08:56,2023-09-14 4:02:15,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,140,0,15,0,15,140,https://papercut.grain.com.sg/events/95584,https://papercut.grain.com.sg/sales_orders/56851,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=e68e1805-5995-43ea-b921-3387e8ee0a6b
I5590,SO090856851,PUBLISHED,CONFIRMED,repeat,FALSE,,,Technology (software),Bytedance,58618,MiniBuffet,,14,1,1,10,"One Raffles Quay, 1 Raffles Quay - North Tower, Level 32 (enter via the loading bay route)",48583,,"10 x meal box + cutleries | Please use loading bay
 

 IMPORTANT: call customer upon arrival",FALSE,,2023-09-08 17:12:23,2023-09-14 4:02:19,2023-09-15 9:45:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 11:00:00,2023-09-15 9:45:00,2023-09-15 13:45:00,140,0,15,0,15,140,https://papercut.grain.com.sg/events/95590,https://papercut.grain.com.sg/sales_orders/56851,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=e68e1805-5995-43ea-b921-3387e8ee0a6b
I5594,SO090856856,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Arohi Asset Management,72696,MiniBuffet,,0,1,1,14,"2 Battery Road, #24-01 Maybank Tower",49907,,"14 x bento + cutlery | take the back lift (there’s a slip road next to Maybank Tower), to level 24. please call host upon arrival",FALSE,,2023-09-08 21:34:48,2023-09-14 4:03:23,2023-09-15 10:30:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 11:45:00,2023-09-15 10:30:00,2023-09-15 14:30:00,0,210.97,30,0,0,240.97,https://papercut.grain.com.sg/events/95594,https://papercut.grain.com.sg/sales_orders/56856,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=440126bb-e2fd-4c28-8b15-8750e1b86d87
I5598,SO090856860,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Circles Life,72873,MiniBuffet,,0,1,1,30,"63 Alexandra Terrace, Harbourlink Innohub, #06-18",119937,FALSE,"30 x bento + cutlery | 10 x packet juices | 26 x cups, sugar, creamer, stirrer
 -----
 Disposables required: YES",FALSE,,2023-09-08 23:01:30,2023-09-14 4:01:25,2023-09-15 9:15:00,2023-09-15 10:30:00,2023-09-15 10:30:00,2023-09-15 10:30:00,2023-09-15 9:15:00,2023-09-15 13:15:00,0,356.9,30,0,0,386.9,https://papercut.grain.com.sg/events/95598,https://papercut.grain.com.sg/sales_orders/56860,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=beb93145-7e8a-40ab-baa4-6e6c9a39e98e
I5606,SO091056865,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Cornerstone Community Church,72877,MiniBuffet,,0,1,1,55,"11 East Coast Road, The Odeon Katong, Cornerstone Community Church, #02-10",428722,FALSE,"55 x bento + cutlery
 -----
 Disposables required: YES",FALSE,,2023-09-10 9:20:31,2023-09-14 4:02:56,2023-09-15 10:15:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 10:15:00,2023-09-15 14:15:00,0,660,30,0,0,690,https://papercut.grain.com.sg/events/95606,https://papercut.grain.com.sg/sales_orders/56865,
I5608,SO091056867,PUBLISHED,CONFIRMED,repeat,FALSE,,,,,28476,MiniBuffet,,0,1,1,17,"134 Potong Pasir Avenue 3, #01-180",350134,FALSE,"17 x bento + cutlery, 17 x bottled drinks
 -----
 Disposables required: YES
 -----
 Please deliver to school principal Ms Sandy Tan in the Main office.",FALSE,,2023-09-10 10:46:13,2023-09-14 4:03:54,2023-09-15 11:45:00,2023-09-15 13:00:00,2023-09-15 13:00:00,2023-09-15 13:00:00,2023-09-15 11:45:00,2023-09-15 15:45:00,0,341.65,30,0,0,371.65,https://papercut.grain.com.sg/events/95608,https://papercut.grain.com.sg/sales_orders/56867,
I5637,SO091156889,PUBLISHED,CONFIRMED,repeat,FALSE,,,Education,Singapore Institute of Technology,47572,MiniBuffet,,7.43,1,1,15,"29B Tampines Ave 1, SIT@TP Level 5, Staff Lounge",528694,,"15 x bento + cutlery | 15 packet fruit juice| 26 cups, sugar, creamer, stirrer",FALSE,,2023-09-11 10:17:22,2023-09-14 4:04:04,2023-09-15 12:15:00,2023-09-15 13:30:00,2023-09-15 13:30:00,2023-09-15 13:30:00,2023-09-15 12:15:00,2023-09-15 16:15:00,111.45,46.3,15,0,0,172.75,https://papercut.grain.com.sg/events/95637,https://papercut.grain.com.sg/sales_orders/56889,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=88a0c128-9a07-4df8-b956-7acec11e8967
I5656,SO091156902,PUBLISHED,CONFIRMED,inbound,FALSE,,,,Illumina,72904,MiniBuffet,,24.5,1,1,15,"27A West Coast Park, Function Room, #06-05",127721,,"-----
 Disposables required: YES
 -----
 Please deliver food to the Function Room",FALSE,,2023-09-11 12:29:13,2023-09-14 13:16:00,2023-09-15 11:45:00,2023-09-15 13:00:00,2023-09-15 13:00:00,2023-09-15 13:00:00,2023-09-15 11:45:00,2023-09-15 15:45:00,367.5,119.44,40,0,0,526.94,https://papercut.grain.com.sg/events/95656,https://papercut.grain.com.sg/sales_orders/56902,
I5693,SO091156917,PUBLISHED,CONFIRMED,repeat,FALSE,,,,Compass Group Singapore Pte Ltd.,64001,MiniBuffet,,30,1,1,29,"Microsoft, 182 Cecil Street, Level #10-01 Frasers Tower",69547,,29 x bento + Cutlery,FALSE,,2023-09-11 17:22:05,2023-09-14 4:01:17,2023-09-15 9:00:00,2023-09-15 10:15:00,2023-09-15 10:15:00,2023-09-15 10:15:00,2023-09-15 9:00:00,2023-09-15 13:00:00,870,0,60,0,0,930,https://papercut.grain.com.sg/events/95693,https://papercut.grain.com.sg/sales_orders/56917,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=03a85eef-852c-4d88-9bdc-f4818ca0e720
I5696,SO091156917,PUBLISHED,CONFIRMED,repeat,FALSE,,,,Compass Group Singapore Pte Ltd.,64001,MiniBuffet,,0,1,1,29,"Microsoft, 182 Cecil Street, Level #10-01 Frasers Tower",69547,,29 x Bento + Cutlery,FALSE,,2023-09-11 17:27:04,2023-09-14 4:03:37,2023-09-15 10:45:00,2023-09-15 12:00:00,2023-09-15 12:00:00,2023-09-15 12:00:00,2023-09-15 10:45:00,2023-09-15 14:45:00,0,0,0,0,0,0,https://papercut.grain.com.sg/events/95696,https://papercut.grain.com.sg/sales_orders/56917,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=03a85eef-852c-4d88-9bdc-f4818ca0e720
I5697,SO091156917,PUBLISHED,CONFIRMED,repeat,FALSE,,,,Compass Group Singapore Pte Ltd.,64001,MiniBuffet,,0,1,1,29,"Microsoft, 182 Cecil Street, Level #10-01 Frasers Tower",69547,,29 x Bento + Cutlery,FALSE,,2023-09-11 17:29:23,2023-09-14 4:04:33,2023-09-15 13:45:00,2023-09-15 15:00:00,2023-09-15 15:00:00,2023-09-15 15:00:00,2023-09-15 13:45:00,2023-09-15 17:45:00,0,0,0,0,0,0,https://papercut.grain.com.sg/events/95697,https://papercut.grain.com.sg/sales_orders/56917,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=03a85eef-852c-4d88-9bdc-f4818ca0e720
I5750,SO091256963,PUBLISHED,CONFIRMED,inbound,FALSE,,,Hospitals,Guardant Health Pte Ltd,72976,MiniBuffet,,12,1,1,20,"Raffles Cancer Centre, 585 North Bridge Road, level 10, Raffles Specialist Centre",188770,,20 x Bento + Cutlery,FALSE,,2023-09-12 14:31:00,2023-09-14 4:03:08,2023-09-15 10:15:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 11:30:00,2023-09-15 10:15:00,2023-09-15 14:15:00,240,0,30,0,0,270,https://papercut.grain.com.sg/events/95750,https://papercut.grain.com.sg/sales_orders/56963,https://go.xero.com/AccountsReceivable/Edit.aspx?InvoiceID=21672eb8-663d-4a8b-8775-9e0f52fbcac0
I5776,SO091256975,PUBLISHED,CONFIRMED,repeat,FALSE,,,Hospitals,Agency for Integrated Care Pte Ltd.,51734,MiniBuffet,,28.48,1,1,70,"5 Maxwell Road, #12-01 Tower Block MND Complex",69110,,"70 x Bento + Cutlery 
 **NO LLM",FALSE,,2023-09-12 17:31:56,2023-09-14 4:01:03,2023-09-15 7:00:00,2023-09-15 8:15:00,2023-09-15 8:15:00,2023-09-15 8:15:00,2023-09-15 7:00:00,2023-09-15 11:00:00,1993.6,0,60,0,60,1993.6,https://papercut.grain.com.sg/events/95776,https://papercut.grain.com.sg/sales_orders/56975,
I5779,SO091256975,PUBLISHED,CONFIRMED,repeat,FALSE,,,Hospitals,Agency for Integrated Care Pte Ltd.,51734,MiniBuffet,,0,1,1,70,"5 Maxwell Road, #12-01 Tower Block MND Complex",69110,,70 x Bento + Cutlery |**NO LLM |,FALSE,,2023-09-12 17:49:33,2023-09-14 4:03:41,2023-09-15 10:45:00,2023-09-15 12:00:00,2023-09-15 12:00:00,2023-09-15 12:00:00,2023-09-15 10:45:00,2023-09-15 14:45:00,0,0,0,0,0,0,https://papercut.grain.com.sg/events/95779,https://papercut.grain.com.sg/sales_orders/56975,
I5781,SO091256975,PUBLISHED,CONFIRMED,repeat,FALSE,,,Hospitals,Agency for Integrated Care Pte Ltd.,51734,MiniBuffet,,0,1,1,70,"5 Maxwell Road, #12-01 Tower Block MND Complex",69110,,"70 x Bento + Cutlery
 **NO LLM",FALSE,,2023-09-12 18:59:09,2023-09-14 4:04:38,2023-09-15 13:45:00,2023-09-15 15:00:00,2023-09-15 15:00:00,2023-09-15 15:00:00,2023-09-15 13:45:00,2023-09-15 17:45:00,0,0,0,0,0,0,https://papercut.grain.com.sg/events/95781,https://papercut.grain.com.sg/sales_orders/56975,